job_title,agency,grade,comprate,hire_date,appointment_type,hire_year,years_of_service,grade_numeric,comprate_range
"Therapist,Art",DCPS,15,130268.0,2002-08-25,Ed - Reg,2002,24,15.0,125K-150K
"Aide, 10Mo Special Ed",DCPS,04,43821.0,2019-10-09,Ed - Reg,2019,7,4.0,Under 50K
"Teacher, Early Childhood",DCPS,15,130561.0,2016-08-07,Ed - Reg,2016,10,15.0,125K-150K
Business Manager,DCPS,11,77467.0,2007-07-23,Ed - Reg,2007,19,11.0,75K-100K
"Teacher, General Elementary",DCPS,15,66579.0,2025-08-20,Ed - Reg,2025,1,15.0,50K-75K
"Teacher, Special Ed.",DCPS,15,133508.0,2008-02-25,Ed - Reg,2008,18,15.0,125K-150K
"Teacher, World Language",DCPS,15,137632.0,2009-08-17,Ed - Reg,2009,17,15.0,125K-150K
Custodian,DCPS,05,21.28,2024-11-14,CS - Reg,2024,2,5.0,Under 50K
Custodian,DCPS,05,28.36,2017-08-15,Ed - Reg,2017,9,5.0,Under 50K
"Teacher, Special Ed.",DCPS,15,97941.0,2011-07-31,Ed - Reg,2011,15,15.0,75K-100K
"Teacher, Art",DCPS,15,137632.0,2006-08-22,Ed - Reg,2006,20,15.0,125K-150K
Director (Cso),DCPS,06,143651.0,2006-01-03,Ed - Reg,2006,20,6.0,125K-150K
"Teacher, General Secondary",DCPS,15,116119.0,2020-08-17,Ed - Reg,2020,6,15.0,100K-125K
Speech Language Pathologist (W,DCPS,15,85361.0,2023-08-14,Ed - Reg,2023,3,15.0,75K-100K
"Aide, 10Mo General Ed",DCPS,04,46175.0,2025-01-13,Ed - Reg,2025,1,4.0,Under 50K
Assistant Principal,DCPS,82,148674.0,2024-07-01,Ed - Reg,2024,2,82.0,125K-150K
Manager,DCPS,15,111058.0,2022-10-11,CS - Reg,2022,4,15.0,100K-125K
Behavior Technician,DCPS,05,42099.2,2024-12-09,Ed - Reg,2024,2,5.0,Under 50K
Psychologist (Wtu),DCPS,15,116119.0,2019-08-04,Ed - Reg,2019,7,15.0,100K-125K
"Aide, 10Mo General Ed",DCPS,04,40291.0,2025-01-27,Ed - Reg,2025,1,4.0,Under 50K
"Aide, 10Mo Pre-K/K",DCPS,04,40291.0,2022-10-17,Ed - Reg,2022,4,4.0,Under 50K
Assistant Principal,DCPS,81,151403.0,2023-08-01,Ed - Reg,2023,3,81.0,150K+
"Teacher, Early Childhood",DCPS,15,124610.0,2017-01-19,Ed - Reg,2017,9,15.0,100K-125K
Psychologist (Wtu),DCPS,15,72655.0,2024-08-12,Ed - Reg,2024,2,15.0,50K-75K
"Teacher, General Secondary",DCPS,15,130206.0,2016-08-07,Ed - Reg,2016,10,15.0,125K-150K
Manager,DCPS,15,120535.0,2022-06-06,Ed - Reg,2022,4,15.0,100K-125K
Teacher- Science (Et- 15),DCPS,15,105071.0,2013-02-26,Ed - Reg,2013,13,15.0,100K-125K
"Teacher, General Secondary",DCPS,15,137632.0,2010-06-05,Ed - Reg,2010,16,15.0,125K-150K
"Teacher, General Elementary",DCPS,15,119641.0,2019-08-05,Ed - Reg,2019,7,15.0,100K-125K
Speech Pathologist,DCPS,15,97187.0,2018-08-06,Ed - Reg,2018,8,15.0,75K-100K
"Teacher, General Secondary",DCPS,15,137632.0,2014-08-25,Ed - Reg,2014,12,15.0,125K-150K
"Therapist,Occupational",DCPS,15,116119.0,2021-01-21,Ed - Reg,2021,5,15.0,100K-125K
"Teacher, Early Childhood",DCPS,15,93234.0,2018-08-05,Ed - Reg,2018,8,15.0,75K-100K
"Teacher, Music",DCPS,15,124610.0,2020-08-17,Ed - Reg,2020,6,15.0,100K-125K
Substitute Teacher,DCPS,17,25.0,2024-09-23,Ed - Temp,2024,2,17.0,Under 50K
Psychologist (Cso),DCPS,11,106705.0,2025-08-18,Exe - Reg,2025,1,11.0,100K-125K
"Teacher, General Secondary",DCPS,15,76329.0,2022-08-14,Ed - Reg,2022,4,15.0,75K-100K
"Teacher, General Elementary",DCPS,15,137632.0,2013-09-03,Ed - Reg,2013,13,15.0,125K-150K
"Teacher, General Elementary",DCPS,15,112947.0,2017-08-14,Ed - Reg,2017,9,15.0,100K-125K
Speech Language Pathologist (W,DCPS,15,112947.0,2019-08-05,Ed - Reg,2019,7,15.0,100K-125K
Custodial Foreman,DCPS,05,34.05,2014-08-11,Ed - Reg,2014,12,5.0,Under 50K
"Teacher, General Elementary",DCPS,15,130268.0,1995-09-04,Ed - Reg,1995,31,15.0,125K-150K
"Specialist, Library/Media",DCPS,15,130206.0,2006-06-12,Ed - Reg,2006,20,15.0,125K-150K
"Teacher, Art",DCPS,15,82054.0,2021-08-16,Ed - Reg,2021,5,15.0,75K-100K
"Coach, Instructional",DCPS,15,133508.0,2009-05-30,Ed - Reg,2009,17,15.0,125K-150K
Teacher- Esol,DCPS,15,105071.0,2016-08-14,Ed - Reg,2016,10,15.0,100K-125K
Custodian,DCPS,05,24.55,2000-10-02,CS - Reg,2000,26,5.0,Under 50K
Substitute Teacher,DCPS,17,20.0,2007-12-12,Ed - Temp,2007,19,17.0,Under 50K
"Teacher, Special Ed.",DCPS,15,101115.0,2004-08-27,Ed - Reg,2004,22,15.0,100K-125K
Custodian,DCPS,03,24.78,2023-07-24,Ed - Reg,2023,3,3.0,Under 50K
"Therapist,Occupational",DCPS,15,119641.0,2015-03-11,Ed - Reg,2015,11,15.0,100K-125K
Director,DCPS,16,141262.0,2011-10-03,CS - Reg,2011,15,16.0,125K-150K
"Teacher, General Secondary",DCPS,15,123196.0,2016-08-07,Ed - Reg,2016,10,15.0,100K-125K
"Teacher, Pe",DCPS,15,105071.0,2022-09-12,Ed - Reg,2022,4,15.0,100K-125K
"Teacher, Early Childhood",DCPS,15,82173.0,2023-05-18,Ed - Reg,2023,3,15.0,75K-100K
"Therapist,Occupational",DCPS,15,107478.0,2025-08-25,Ed - Reg,2025,1,15.0,100K-125K
"Teacher, Visual & Performing A",DCPS,15,119641.0,2024-08-12,Ed - Reg,2024,2,15.0,100K-125K
"Clerk, Data Entry Clerk",DCPS,04,50885.0,1986-10-01,Ed - Reg,1986,40,4.0,50K-75K
"Teacher, Special Ed.",DCPS,15,89306.0,2022-05-09,Ed - Reg,2022,4,15.0,75K-100K
Aide 10Mo Early Childhood Educ,DCPS,04,43821.0,2022-08-19,Ed - Reg,2022,4,4.0,Under 50K
"Coordinator, Special Ed",DCPS,10,116009.0,2014-08-21,Ed - Reg,2014,12,10.0,100K-125K
"Teacher, General Secondary",DCPS,15,116119.0,2015-08-31,Ed - Reg,2015,11,15.0,100K-125K
"Teacher,English",DCPS,15,130561.0,2011-09-26,Ed - Reg,2011,15,15.0,125K-150K
"Teacher, Special Ed.",DCPS,15,107478.0,2019-11-04,Ed - Reg,2019,7,15.0,100K-125K
"Teacher, General Secondary",DCPS,15,112947.0,2023-08-13,Ed - Reg,2023,3,15.0,100K-125K
Custodian,DCPS,03,24.78,1983-03-09,Ed - Reg,1983,43,3.0,Under 50K
Substitute Teacher,DCPS,17,20.0,2025-05-05,Ed - Temp,2025,1,17.0,Under 50K
"Teacher, General Elementary",DCPS,15,78890.0,2024-08-12,Ed - Reg,2024,2,15.0,75K-100K
"Teacher, General Elementary",DCPS,15,124610.0,2017-07-23,Ed - Reg,2017,9,15.0,100K-125K
"Instructor, Jrotc (Et-15)",DCPS,15,98774.0,2024-08-19,Ed - Reg,2024,2,15.0,75K-100K
"Teacher, Special Ed.",DCPS,15,66579.0,2025-02-04,Ed - Reg,2025,1,15.0,50K-75K
Social Worker,DCPS,15,137632.0,1990-02-26,Ed - Reg,1990,36,15.0,125K-150K
Teacher- Esol,DCPS,15,112947.0,2023-10-02,Ed - Reg,2023,3,15.0,100K-125K
"Teacher, Visual & Performing A",DCPS,15,70696.0,2022-08-15,Ed - Reg,2022,4,15.0,50K-75K
"Teacher, General Elementary",DCPS,15,79005.0,2022-08-30,Ed - Reg,2022,4,15.0,75K-100K
Specialist,DCPS,14,109367.0,2015-10-05,Ed - Reg,2015,11,14.0,100K-125K
"Teacher, General Elementary",DCPS,15,75830.0,2024-08-20,Ed - Reg,2024,2,15.0,75K-100K
Assistant,DCPS,11,61608.0,2020-02-18,CS - Reg,2020,6,11.0,50K-75K
Substitute Teacher,DCPS,17,20.0,2008-06-23,Ed - Temp,2008,18,17.0,Under 50K
"Teacher, Early Childhood",DCPS,15,137632.0,2015-08-09,Ed - Reg,2015,11,15.0,125K-150K
"Coach, Instructional",DCPS,15,151395.0,2016-08-07,Ed - Reg,2016,10,15.0,150K+
"Coordinator, Ib",DCPS,10,107188.0,2024-08-12,Ed - Reg,2024,2,10.0,100K-125K
Senior Accountant,DCPS,13,134142.0,2016-03-07,CS - Reg,2016,10,13.0,125K-150K
"Teacher, Music",DCPS,15,85242.0,2024-08-12,Ed - Reg,2024,2,15.0,75K-100K
"School Counselor, Es",DCPS,15,97187.0,2023-08-14,Ed - Reg,2023,3,15.0,75K-100K
Psychologist (Wtu),DCPS,15,137632.0,1991-09-26,Ed - Reg,1991,35,15.0,125K-150K
Director,DCPS,16,133851.0,2012-03-12,Ed - Reg,2012,14,16.0,125K-150K
"Teacher, Early Childhood",DCPS,15,137632.0,1996-08-28,Ed - Reg,1996,30,15.0,125K-150K
"Teacher, Early Childhood",DCPS,15,137632.0,2001-12-03,Ed - Reg,2001,25,15.0,125K-150K
Assistant Principal,DCPS,83,136398.0,2017-08-13,Ed - Reg,2017,9,83.0,125K-150K
Teacher- Science (Et- 15),DCPS,15,46617.0,2014-11-12,Ed - Reg,2014,12,15.0,Under 50K
"Teacher, Early Childhood",DCPS,15,119641.0,2020-09-04,Ed - Reg,2020,6,15.0,100K-125K
Custodian,DCPS,05,26.25,2012-09-16,Ed - Reg,2012,14,5.0,Under 50K
"Aide, 10Mo Instructional",DCPS,04,44999.0,2024-10-29,Ed - Reg,2024,2,4.0,Under 50K
"Teacher, Art",DCPS,15,93234.0,2017-08-06,Ed - Reg,2017,9,15.0,75K-100K
"Aide, 10Mo Special Ed",DCPS,04,42660.8,2024-10-07,Ed - Reg,2024,2,4.0,Under 50K
Teacher- Esol,DCPS,15,75700.0,2025-08-11,Ed - Reg,2025,1,15.0,75K-100K
"School Counselor, Hs (11 Month",DCPS,15,124241.0,2015-07-26,Ed - Reg,2015,11,15.0,100K-125K
Assistant Principal,DCPS,81,156857.0,2007-08-21,Ed - Reg,2007,19,81.0,150K+
Assistant Principal,DCPS,83,156857.0,2023-07-24,Ed - Reg,2023,3,83.0,150K+
"Teacher, Special Ed.",DCPS,15,126967.0,2013-06-19,Ed - Reg,2013,13,15.0,125K-150K
Custodian,DCPS,05,28.36,2006-04-18,Ed - Reg,2006,20,5.0,Under 50K
Substitute Teacher,DCPS,17,25.0,2022-02-14,Ed - Temp,2022,4,17.0,Under 50K
"Teacher,Esl,Elementary",DCPS,15,137632.0,2016-08-07,Ed - Reg,2016,10,15.0,125K-150K
"Teacher, General Secondary",DCPS,15,88402.0,2007-03-19,Ed - Reg,2007,19,15.0,75K-100K
"Coach, Instructional",DCPS,15,130268.0,1995-08-30,Ed - Reg,1995,31,15.0,125K-150K
Behavior Technician,DCPS,05,51396.8,2016-05-16,Ed - Reg,2016,10,5.0,50K-75K
"Teacher, Early Childhood",DCPS,15,137632.0,2005-08-23,Ed - Reg,2005,21,15.0,125K-150K
Senior Director,DCPS,02,148278.0,2015-11-09,Ed - Reg,2015,11,2.0,125K-150K
Teacher- Esol,DCPS,15,137632.0,2010-08-16,Ed - Reg,2010,16,15.0,125K-150K
Teacher (Eg 09),DCPS,09,98670.0,2022-08-08,Ed - Reg,2022,4,9.0,75K-100K
"Manager, Strategy & Logistics",DCPS,10,99702.0,2016-04-29,Ed - Reg,2016,10,10.0,75K-100K
Custodial Foreman,DCPS,01,23.3,2017-09-27,Ed - Reg,2017,9,1.0,Under 50K
Behavior Technician,DCPS,05,52728.0,2022-08-18,Ed - Reg,2022,4,5.0,50K-75K
"Teacher, Special Ed.",DCPS,15,126967.0,2018-08-05,Ed - Reg,2018,8,15.0,125K-150K
Teacher- Science (Et- 15),DCPS,15,93234.0,2025-08-28,Ed - Reg,2025,1,15.0,75K-100K
"Specialist, Library/Media",DCPS,15,112947.0,2008-07-10,Ed - Reg,2008,18,15.0,100K-125K
"Manager, Strategy & Logistics",DCPS,10,114193.0,2016-10-21,Ed - Reg,2016,10,10.0,100K-125K
"Aide, 10Mo Special Ed",DCPS,04,40291.0,2025-10-20,Ed - Reg,2025,1,4.0,Under 50K
Tli Teacher Leader - Sped,DCPS,15,130268.0,2009-08-17,Ed - Reg,2009,17,15.0,125K-150K
"Teacher, Special Ed.",DCPS,15,130206.0,2014-08-11,Ed - Reg,2014,12,15.0,125K-150K
"Specialist, Library/Media",DCPS,15,112947.0,2008-08-19,Ed - Reg,2008,18,15.0,100K-125K
"Therapist, Physical",DCPS,15,134332.0,2019-03-04,Ed - Reg,2019,7,15.0,125K-150K
"Teacher, General Secondary",DCPS,15,75830.0,2023-02-14,Ed - Reg,2023,3,15.0,75K-100K
Athletic Trainer,DCPS,15,106065.0,2025-10-06,Ed - Reg,2025,1,15.0,100K-125K
"Teacher, World Language",DCPS,15,97187.0,2023-08-14,Ed - Reg,2023,3,15.0,75K-100K
"Teacher, Visual & Performing A",DCPS,15,137632.0,2010-08-16,Ed - Reg,2010,16,15.0,125K-150K
Coordinator (Eg),DCPS,13,83094.0,2025-10-01,Ed - Reg,2025,1,13.0,75K-100K
"Teacher, Visual & Performing A",DCPS,15,70696.0,2021-08-16,Ed - Reg,2021,5,15.0,50K-75K
"Teacher, Music",DCPS,15,137632.0,2020-08-17,Ed - Reg,2020,6,15.0,125K-150K
Teacher- Esol,DCPS,15,137632.0,2016-08-16,Ed - Reg,2016,10,15.0,125K-150K
"Teacher, Special Ed.",DCPS,15,66809.0,2024-08-26,Ed - Reg,2024,2,15.0,50K-75K
Custodian,DCPS,03,19.39,2022-08-14,Ed - Reg,2022,4,3.0,Under 50K
School Substitute Teacher,DCPS,17,25.0,2022-11-03,Ed - Reg,2022,4,17.0,Under 50K
"Instructor, Jrotc (Et-15)",DCPS,15,144062.0,2019-08-05,Ed - Reg,2019,7,15.0,125K-150K
"Teacher, General Elementary",DCPS,15,93234.0,2022-09-05,Ed - Reg,2022,4,15.0,75K-100K
"Teacher, General Secondary",DCPS,15,97941.0,2020-08-17,Ed - Reg,2020,6,15.0,75K-100K
Substitute Teacher,DCPS,17,20.0,2009-04-27,Ed - Temp,2009,17,17.0,Under 50K
Custodian,DCPS,05,28.36,2017-08-06,Ed - Reg,2017,9,5.0,Under 50K
"Teacher, General Secondary",DCPS,15,82173.0,2021-06-21,Ed - Reg,2021,5,15.0,75K-100K
Director,DCPS,16,133851.0,2020-08-31,Ed - Reg,2020,6,16.0,125K-150K
Teacher- Esol,DCPS,15,105071.0,2022-08-15,Ed - Reg,2022,4,15.0,100K-125K
"Teacher, Special Ed.",DCPS,15,85361.0,2022-02-18,Ed - Reg,2022,4,15.0,75K-100K
"Teacher, General Elementary",DCPS,15,111889.0,1999-08-18,Ed - Reg,1999,27,15.0,100K-125K
Teacher,DCPS,15,137632.0,2013-02-17,Ed - Reg,2013,13,15.0,125K-150K
"Teacher, General Elementary",DCPS,15,130268.0,2021-08-16,Ed - Reg,2021,5,15.0,125K-150K
"Aide, 10Mo Special Ed",DCPS,04,47361.6,2023-08-24,Ed - Reg,2023,3,4.0,Under 50K
Afterschool Paraprofessional,DCPS,15,17156.25,2024-06-02,Ed - Temp,2024,2,15.0,Under 50K
"Teacher, Art",DCPS,15,66809.0,2021-08-20,Ed - Reg,2021,5,15.0,50K-75K
Behavior Technician,DCPS,05,54017.6,2013-02-12,Ed - Reg,2013,13,5.0,50K-75K
"Teacher, General Elementary",DCPS,15,133508.0,2002-08-25,Ed - Reg,2002,24,15.0,125K-150K
"Aide, Administrative",DCPS,07,64644.0,2023-09-25,CS - Reg,2023,3,7.0,50K-75K
"Teacher, Early Childhood",DCPS,15,116119.0,2013-08-16,Ed - Reg,2013,13,15.0,100K-125K
Psychologist (Wtu),DCPS,15,97187.0,2018-02-08,Ed - Reg,2018,8,15.0,75K-100K
"Teacher, General Secondary",DCPS,15,112947.0,2022-12-19,Ed - Reg,2022,4,15.0,100K-125K
"Aide, Administrative",DCPS,07,63024.0,2010-01-04,Ed - Reg,2010,16,7.0,50K-75K
Assistant Principal,DCPS,82,141852.0,2016-08-07,Ed - Reg,2016,10,82.0,125K-150K
Manager,DCPS,15,117378.0,2021-05-10,CS - Reg,2021,5,15.0,100K-125K
Teacher- Esol,DCPS,15,130268.0,2015-08-10,Ed - Reg,2015,11,15.0,125K-150K
Manager,DCPS,15,114218.0,2017-06-26,CS - Reg,2017,9,15.0,100K-125K
Teacher- Esol,DCPS,15,123196.0,2018-08-06,Ed - Reg,2018,8,15.0,100K-125K
Behavior Technician,DCPS,05,47424.0,2024-08-26,Ed - Reg,2024,2,5.0,Under 50K
"Aide, 10Mo Special Ed",DCPS,04,43821.0,2025-08-25,CS - Reg,2025,1,4.0,Under 50K
"Teacher, General Elementary",DCPS,15,97941.0,2014-05-09,Ed - Reg,2014,12,15.0,75K-100K
"Teacher, General Elementary",DCPS,15,105573.0,2018-08-05,Ed - Reg,2018,8,15.0,100K-125K
"Teacher, Special Ed.",DCPS,15,130268.0,2009-06-25,Ed - Reg,2009,17,15.0,125K-150K
"Aide, 10Mo Instructional",DCPS,04,39124.8,2025-11-17,Ed - Reg,2025,1,4.0,Under 50K
"Teacher, General Elementary",DCPS,15,124610.0,2017-08-16,Ed - Reg,2017,9,15.0,100K-125K
"Teacher, Special Ed.",DCPS,15,146270.0,2005-04-04,Ed - Reg,2005,21,15.0,125K-150K
Teacher- Esol,DCPS,15,82173.0,2017-09-05,Ed - Temp,2017,9,15.0,75K-100K
Teacher- Esol,DCPS,15,137632.0,2020-08-17,Ed - Reg,2020,6,15.0,125K-150K
"Aide, 10Mo Instructional",DCPS,04,48526.0,2022-08-29,Ed - Reg,2022,4,4.0,Under 50K
"School Counselor, Es",DCPS,15,111403.0,2024-11-19,Ed - Reg,2024,2,15.0,100K-125K
"Aide, Administrative",DCPS,07,63024.0,2001-06-11,CS - Reg,2001,25,7.0,50K-75K
"Teacher, General Secondary",DCPS,15,137632.0,2019-08-04,Ed - Reg,2019,7,15.0,125K-150K
Custodian,DCPS,03,18.61,2023-06-05,Ed - Reg,2023,3,3.0,Under 50K
Custodian,DCPS,03,18.61,2022-08-15,Ed - Reg,2022,4,3.0,Under 50K
"Aide, 10Mo Instructional",DCPS,04,38105.6,2025-03-10,Ed - Reg,2025,1,4.0,Under 50K
Aide 10Mo-Esol,DCPS,04,44999.0,2015-06-30,Ed - Reg,2015,11,4.0,Under 50K
Athletic Trainer,DCPS,15,93896.0,2025-01-27,Ed - Reg,2025,1,15.0,75K-100K
"Teacher, World Language",DCPS,15,68179.0,2023-08-28,Ed - Reg,2023,3,15.0,50K-75K
"School Counselor, Bilingual",DCPS,15,124610.0,2014-03-31,Ed - Reg,2014,12,15.0,100K-125K
Assistant Principal,DCPS,81,154131.0,2005-08-23,Ed - Reg,2005,21,81.0,150K+
"Teacher, World Language",DCPS,15,112947.0,2022-08-15,Ed - Reg,2022,4,15.0,100K-125K
"Teacher, General Elementary",DCPS,15,89306.0,2020-08-17,Ed - Reg,2020,6,15.0,75K-100K
"Teacher, Pe",DCPS,15,68179.0,2023-08-14,Ed - Reg,2023,3,15.0,50K-75K
"Aide, 10Mo Special Ed",DCPS,04,48526.0,2009-08-17,Ed - Reg,2009,17,4.0,Under 50K
"Teacher,Wae",DCPS,16,34.39,1976-11-19,Ed - Temp,1976,50,16.0,Under 50K
"Aide, 10Mo Special Ed",DCPS,04,39124.8,2025-08-18,CS - Reg,2025,1,4.0,Under 50K
"Aide, 10Mo Instructional",DCPS,04,41454.4,2025-08-19,Ed - Reg,2025,1,4.0,Under 50K
Social Worker,DCPS,15,89306.0,2024-09-23,Ed - Reg,2024,2,15.0,75K-100K
"Clerk, Data Entry Clerk",DCPS,04,41454.4,2023-08-28,Ed - Reg,2023,3,4.0,Under 50K
Aide 10Mo Early Childhood Educ,DCPS,04,48526.0,2001-12-20,Ed - Reg,2001,25,4.0,Under 50K
"Clerk, Data Entry Clerk",DCPS,04,43821.0,2024-01-16,Ed - Temp,2024,2,4.0,Under 50K
"Teacher,Esl,Elementary",DCPS,15,72655.0,2024-08-12,Ed - Reg,2024,2,15.0,50K-75K
School Substitute Teacher,DCPS,17,25.0,2025-06-02,Ed - Reg,2025,1,17.0,Under 50K
"Teacher, General Elementary",DCPS,15,85242.0,2012-06-09,Ed - Reg,2012,14,15.0,75K-100K
"Teacher, General Elementary",DCPS,15,112947.0,2016-09-05,Ed - Reg,2016,10,15.0,100K-125K
"Teacher, Visual & Performing A",DCPS,15,124610.0,2014-12-17,Ed - Reg,2014,12,15.0,100K-125K
"Teacher, Pe",DCPS,15,97941.0,2018-08-05,Ed - Reg,2018,8,15.0,75K-100K
Substitute Teacher,DCPS,17,20.0,2022-05-09,Ed - Temp,2022,4,17.0,Under 50K
"Teacher, General Elementary",DCPS,15,112947.0,2011-01-03,Ed - Reg,2011,15,15.0,100K-125K
Teacher- Science (Et- 15),DCPS,15,97187.0,2022-08-15,Ed - Reg,2022,4,15.0,75K-100K
Social Worker,DCPS,15,126967.0,2005-10-17,Ed - Reg,2005,21,15.0,125K-150K
"Therapist,Occupational",DCPS,15,107478.0,2023-08-14,Ed - Reg,2023,3,15.0,100K-125K
"Teacher, General Elementary",DCPS,15,75830.0,2021-06-06,Ed - Reg,2021,5,15.0,75K-100K
Dean Of Students,DCPS,10,116009.0,2011-03-30,Ed - Reg,2011,15,10.0,100K-125K
"Coach, Instructional",DCPS,15,116119.0,2019-08-05,Ed - Reg,2019,7,15.0,100K-125K
Project Manager (Eg),DCPS,15,114218.0,2020-11-09,CS - Reg,2020,6,15.0,100K-125K
Custodian,DCPS,05,26.25,2009-02-03,Ed - Reg,2009,17,5.0,Under 50K
"Teacher, General Elementary",DCPS,15,130206.0,2010-08-16,Ed - Reg,2010,16,15.0,125K-150K
"Coach, Instructional",DCPS,15,130268.0,2019-09-09,Ed - Reg,2019,7,15.0,125K-150K
"Teacher, Special Ed.",DCPS,15,105071.0,2014-08-11,Ed - Reg,2014,12,15.0,100K-125K
"Teacher, General Elementary",DCPS,15,112947.0,2023-01-17,Ed - Reg,2023,3,15.0,100K-125K
"Coach, Intervention (Fss)",DCPS,15,140613.0,2007-08-20,Ed - Reg,2007,19,15.0,125K-150K
"Aide, Administrative",DCPS,07,58115.2,2024-08-19,Ed - Reg,2024,2,7.0,50K-75K
"Aide, Administrative",DCPS,07,54824.0,2015-08-23,Ed - Reg,2015,11,7.0,50K-75K
"Teacher, General Secondary",DCPS,15,116119.0,2023-08-30,Ed - Reg,2023,3,15.0,100K-125K
"Therapist,Occupational",DCPS,15,134332.0,2016-08-07,Ed - Reg,2016,10,15.0,125K-150K
"Teacher,English",DCPS,15,93234.0,2025-08-11,Ed - Reg,2025,1,15.0,75K-100K
Principal,DCPS,62,199141.0,2002-08-28,Ed - Reg,2002,24,62.0,150K+
"Teacher, General Elementary",DCPS,15,107478.0,2022-09-13,Ed - Reg,2022,4,15.0,100K-125K
"Teacher, Early Childhood",DCPS,15,134332.0,2010-08-16,Ed - Reg,2010,16,15.0,125K-150K
"Teacher, Special Ed.",DCPS,15,137632.0,2008-08-19,Ed - Reg,2008,18,15.0,125K-150K
"Teacher, Special Ed.",DCPS,15,72655.0,2024-03-11,Ed - Reg,2024,2,15.0,50K-75K
"School Counselor, Ms",DCPS,15,112947.0,2016-11-16,Ed - Reg,2016,10,15.0,100K-125K
"Teacher, Art",DCPS,15,79005.0,2023-08-14,Ed - Reg,2023,3,15.0,75K-100K
"Teacher, World Language",DCPS,15,126967.0,2017-08-06,Ed - Reg,2017,9,15.0,125K-150K
"Aide, 10Mo Special Ed",DCPS,04,42660.8,2023-03-06,Ed - Reg,2023,3,4.0,Under 50K
"Aide, 10Mo Special Ed",DCPS,04,41454.4,2024-10-21,Ed - Reg,2024,2,4.0,Under 50K
Substitute Teacher,DCPS,17,25.0,2023-07-07,Ed - Temp,2023,3,17.0,Under 50K
"Teacher, Pe",DCPS,15,66579.0,2025-03-10,Ed - Reg,2025,1,15.0,50K-75K
"Teacher, Special Ed.",DCPS,15,82054.0,2020-09-01,Ed - Reg,2020,6,15.0,75K-100K
"Teacher, Special Ed.",DCPS,15,85206.0,2021-08-16,Ed - Reg,2021,5,15.0,75K-100K
"School Counselor, Hs (11 Month",DCPS,15,106065.0,2015-02-25,Ed - Reg,2015,11,15.0,100K-125K
Teacher Resource,DCPS,15,137632.0,2010-08-16,Ed - Reg,2010,16,15.0,125K-150K
Teacher- Esol,DCPS,15,130206.0,2016-08-21,Ed - Reg,2016,10,15.0,125K-150K
"Teacher, Early Childhood",DCPS,15,105071.0,2015-09-08,Ed - Reg,2015,11,15.0,100K-125K
"Aide, 10Mo Special Ed",DCPS,04,40403.12,1992-01-13,Ed - Reg,1992,34,4.0,Under 50K
"Aide, 10Mo Special Ed",DCPS,04,44999.0,2022-08-19,Ed - Reg,2022,4,4.0,Under 50K
Custodian- Rw 5,DCPS,05,23.15,2018-07-30,Ed - Reg,2018,8,5.0,Under 50K
"Teacher, Special Ed.",DCPS,15,137632.0,2000-02-03,Ed - Reg,2000,26,15.0,125K-150K
Custodian- Rw 5,DCPS,05,26.25,2016-02-08,Ed - Reg,2016,10,5.0,Under 50K
School Substitute Teacher,DCPS,17,25.0,1987-10-13,Ed - Temp,1987,39,17.0,Under 50K
Substitute Teacher,DCPS,17,25.0,2010-06-21,Ed - Temp,2010,16,17.0,Under 50K
"Teacher, Special Ed.",DCPS,15,123196.0,2019-02-25,Ed - Reg,2019,7,15.0,100K-125K
"Teacher, Special Ed.",DCPS,15,130268.0,2004-02-17,Ed - Reg,2004,22,15.0,125K-150K
Principal,DCPS,62,199141.0,2013-08-12,Ed - Reg,2013,13,62.0,150K+
"Teacher, General Elementary",DCPS,15,112947.0,2023-11-16,Ed - Reg,2023,3,15.0,100K-125K
Analyst,DCPS,12,69876.0,2018-12-23,Ed - Reg,2018,8,12.0,50K-75K
"Teacher, Early Childhood",DCPS,15,126967.0,2004-04-05,Ed - Reg,2004,22,15.0,125K-150K
Social Worker,DCPS,15,112947.0,2021-09-20,Ed - Reg,2021,5,15.0,100K-125K
Custodial Foreman,DCPS,03,33.07,2008-05-13,Ed - Reg,2008,18,3.0,Under 50K
"Coach, Instructional",DCPS,15,101115.0,2011-07-31,Ed - Reg,2011,15,15.0,100K-125K
"Teacher, General Secondary",DCPS,15,112947.0,2023-11-06,Ed - Reg,2023,3,15.0,100K-125K
"Teacher, Pe",DCPS,15,97941.0,2020-08-17,Ed - Reg,2020,6,15.0,75K-100K
Teacher- Esol,DCPS,15,137632.0,2015-08-10,Ed - Reg,2015,11,15.0,125K-150K
"Aide, 10Mo Special Ed",DCPS,04,42660.8,2023-09-12,Ed - Reg,2023,3,4.0,Under 50K
Custodial Foreman,DCPS,01,25.18,2017-01-27,Ed - Reg,2017,9,1.0,Under 50K
"Teacher, Pe",DCPS,15,105071.0,2022-08-15,Ed - Reg,2022,4,15.0,100K-125K
Custodian- Rw 5,DCPS,05,23.15,2002-05-01,Ed - Reg,2002,24,5.0,Under 50K
"Teacher, General Secondary",DCPS,15,97187.0,2017-08-13,Ed - Reg,2017,9,15.0,75K-100K
"Teacher, Early Childhood",DCPS,15,85361.0,2012-08-27,Ed - Reg,2012,14,15.0,75K-100K
Custodian,DCPS,05,26.25,2015-07-20,Ed - Reg,2015,11,5.0,Under 50K
